"time","model","forecast","upper80","upper95","lower80","lower95"
2011-11-01,"ARIMAX",19923.9400045575,19923.9400045575,19923.9400045575,19923.9400045575,19923.9400045575
2011-12-01,"DYNREG",19697.1394617455,20328.634657166,20638.8535636218,18278.4325203298,18588.6514267857
2012-01-01,"ARIMAX",20224.2971391346,20224.2971391346,20224.2971391346,20224.2971391346,20224.2971391346
2012-02-01,"DYNREG",20080.3177109842,20864.6054523808,20905.9358871634,18807.242324588,18848.5727593706
2012-03-01,"DYNREG",20829.0511466725,21997.4093495149,24140.1560229619,19817.3012960603,21960.0479695072
2012-04-01,"DYNREG",18845.7373405452,19642.942106093,19029.0936212446,17791.5390260852,17177.6905412367
2012-05-01,"DYNREG",20504.055212725,21150.0350317029,19705.430186256,19111.8693983445,17667.2645528976
2012-06-01,"DYNREG",19144.033444808,20561.6170497035,18443.3109890974,18502.3101536805,16384.0040930744
2012-07-01,"DYNREG",18062.8035693409,19240.8001902755,21516.9430474184,16975.0283085076,19251.1711656505
2012-08-01,"DYNREG",19960.4534084971,21410.2750677238,22645.386178835,19170.2677167736,20405.3788278847
2012-09-01,"DYNREG",18597.8969879179,19514.0998069267,18526.0723898993,17596.419105803,16608.3916887756
2012-10-01,"DYNREG",21440.2313549899,22304.8263721283,21764.2765885786,19999.7391667188,19459.189383169
2012-11-01,"DYNREG",19430.8996167519,20839.4705476619,20137.2586774066,18656.3795812836,17954.1677110283
2012-12-01,"DYNREG",16249.957234194,17278.3292131254,17977.5915570617,15366.9109650539,16066.1733089901
2013-01-01,"DYNREG",18303.220827385,20050.4823511835,20112.7656845168,17891.233684459,17953.5170177923
2013-02-01,"DYNREG",17807.7217597564,19209.3922412792,18944.4269987922,17122.4643006025,16857.4990581155
2013-03-01,"STLF",17795.6491129104,18530.4109536203,18919.3703768252,17060.8872722005,16671.9278489956
2013-04-01,"STLF",19480.7154671466,20169.8700289624,20534.6864170915,18791.5609053309,18426.7445172017
2013-05-01,"STLF",19331.4945236727,20043.5506691382,20420.4904233341,18619.4383782072,18242.4986240112
2013-06-01,"STLF",16970.6563732604,17647.1986823234,18005.3385471435,16294.1140641975,15935.9741993774
2013-07-01,"STLF",17425.8643608989,18192.2207281681,18597.9052834445,16659.5079936297,16253.8234383534
2013-08-01,"STLF",18049.6293803094,18739.9211976519,19105.3396124912,17359.3375629668,16993.9191481276
2013-09-01,"STLF",18018.8922017236,18665.1236868785,19007.2179707621,17372.6607165687,17030.566432685
2013-10-01,"STLF",19069.3518530648,19784.6377952004,20163.2873004752,18354.0659109292,17975.4164056544
2013-11-01,"STLF",17040.3552994222,17694.5779657033,18040.9025253435,16386.1326331411,16039.808073501
2013-12-01,"TBATS",15592.270178983,16236.2110469024,16577.0927512679,14948.3293110637,14607.4476066981
